StockCode,Description,TotalQuantitySold,OrderCount,Revenue,AvgPrice,UniqueCustomers,ActiveSellingDays,AvgDailyDemand,AvgOrderQuantity,RevenuePerCustomer,InventoryTurnover,TurnoverClass,RevenueShare,CumulativeRevenueShare,ABC_Class,MeanDailyDemand,StdDailyDemand,DemandCV,XYZ_Class,ABC_XYZ_Class,ReorderPriority,DeadStockRisk,Recommendation
85123A,WHITE HANGING HEART T-LIGHT HOLDER,56915,3021,151624.31,2.8556898192197906,1141,306,185.39087947882737,18.83978814961933,132.887212971078,185.9967320261438,Fast Moving,0.01748153472914949,0.01748153472914949,A,185.9967320261438,174.20034628272995,0.9365774569536214,Y,AY,High,0,High-value moderate variability; keep safety stock and review weekly
22423,REGENCY CAKESTAND 3 TIER,12497,1687,143893.35,12.43850439882698,818,215,40.70684039087948,7.407824540604624,175.90874083129586,58.12558139534884,Fast Moving,0.01659019319077965,0.03407172791992914,A,58.12558139534884,59.52552304630427,1.0240847767428518,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
85099B,JUMBO BAG RED WHITE SPOTTY ,48802,1708,85395.9,1.9076349024110217,692,293,158.9641693811075,28.572599531615925,123.40447976878612,166.55972696245735,Fast Moving,0.009845725870587485,0.043917453790516627,A,166.55972696245735,174.9156764043177,1.0501678862846826,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
84879,ASSORTED COLOUR BIRD ORNAMENT,44551,1333,70493.83,1.6718845872899926,627,288,145.1172638436482,33.42160540135034,112.43035087719298,154.69097222222223,Fast Moving,0.008127590736180499,0.05204504452669713,A,154.69097222222223,250.58273197252555,1.6198924111262902,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
21843,RETRO SPOT CAKE STAND,4082,895,41718.34,10.872639198218263,467,278,13.296416938110749,4.5608938547486035,89.33263383297644,14.683453237410072,Medium Moving,0.004809918736332361,0.05685496326302949,A,14.683453237410072,23.604911674906038,1.6075858514512196,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
48138,DOOR MAT UNION FLAG,6349,1016,41275.99,7.2238243902439025,528,278,20.680781758957654,6.249015748031496,78.17422348484848,22.83812949640288,Fast Moving,0.004758917964177559,0.06161388122720705,A,22.83812949640288,34.84051937027333,1.5255417207333415,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,21591,244,40186.65,2.5065267175572514,177,105,70.32899022801303,88.48770491803279,227.04322033898305,205.62857142857143,Fast Moving,0.004633322437696009,0.06624720366490305,A,205.62857142857143,990.5853578056264,4.817352719632753,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,13860,796,36933.5,2.8974789915966386,505,139,45.14657980456026,17.412060301507537,73.13564356435644,99.71223021582733,Fast Moving,0.004258250295873021,0.07050545396077608,A,99.71223021582733,165.44648614242053,1.659239651789066,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
20685,RED SPOTTY COIR DOORMAT,5644,934,36431.28,7.210064102564102,472,280,18.384364820846905,6.042826552462527,77.18491525423728,20.15714285714286,Medium Moving,0.004200346808156088,0.07470580076893217,A,20.15714285714286,26.45867039590808,1.3126200763384588,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
47566,PARTY BUNTING,8316,710,35035.9,4.569793103448276,391,202,27.087947882736156,11.712676056338028,89.60588235294118,41.16831683168317,Fast Moving,0.0040394663798767405,0.07874526714880892,A,41.16831683168317,52.34331165263419,1.2714464831447938,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
15056N,EDWARDIAN PARASOL NATURAL,7201,496,34044.75,5.729175050301811,245,228,23.45602605863192,14.518145161290322,138.95816326530613,31.583333333333332,Fast Moving,0.003925191675861292,0.08267045882467021,A,31.583333333333332,75.61155706906334,2.394033469205172,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
85099F,JUMBO BAG STRAWBERRY,19291,876,33957.45,1.92,392,288,62.8371335504886,22.021689497716896,86.62614795918367,66.98263888888889,Fast Moving,0.003915126416656783,0.08658558524132699,A,66.98263888888889,111.30826256063092,1.6617479455425694,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
21621,VINTAGE UNION JACK BUNTING,4002,742,33852.96,8.49632275132275,418,268,13.035830618892508,5.393530997304582,80.98794258373205,14.932835820895523,Medium Moving,0.003903079235279016,0.09048866447660601,A,14.932835820895523,29.592158532449915,1.9816837797842521,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
