Date,Sales,InvoiceCount,QuantitySold,UniqueCustomers,UniqueProducts,AvgUnitPrice,AvgBasketValue,Month,Quarter,Weekday,WeekOfYear,Weekend,Lag1,Lag7,Lag14,Lag28,Rolling7,Rolling14,Rolling30,Std7,Std14,EMA_7,EMA_14,EMA_30,RollingMax7,RollingMax14,RollingMax30,RollingMin7,RollingMin14,RollingMin30,Momentum7,Momentum14,Momentum28,GrowthRate7,GrowthRate14,GrowthRate28
2010-02-16,31203.68,61,16736,51,1051,4.179248677248677,511.53573770491806,2,1,1,7,0,42784.781,17438.52,18704.68,31672.73,21094.36442857143,20697.367357142855,23173.5915,11882.739728677936,8226.471449878616,24889.80836265438,22824.018377564775,22619.027881623086,42784.781,42784.781,47243.840000000004,9583.09,9583.09,9583.09,13765.16,12499.0,-469.0499999999993,1.789353683684166,1.6682284861328822,0.9851907303222678
2010-02-17,26616.23,49,25072,42,648,3.1335218253968256,543.1883673469388,2,1,2,7,0,31203.68,19666.54,19831.431,13515.89,22087.177285714286,21181.99585714286,23311.163500000002,12032.938100355705,8370.12914591985,25321.413771990785,23329.64659388947,22876.911889260307,42784.781,42784.781,47243.840000000004,9583.09,9583.09,9583.09,6949.689999999999,6784.798999999999,13100.34,1.3533763437798412,1.3421235209904923,1.9692547068672503
2010-02-18,35811.19,63,19884,58,773,2.867907669396873,568.4315873015873,2,1,3,7,0,26616.23,9583.09,21696.7,17578.24,25834.048714285716,22190.173714285716,23449.112166666666,11564.836096110135,9241.5711683831,27943.85782899309,24993.852381370874,23711.3814447919,42784.781,42784.781,47243.840000000004,11393.61,9583.09,9583.09,26228.100000000002,14114.490000000002,18232.95,3.7369147112257113,1.6505362566657602,2.0372454807762326
2010-02-19,27254.86,58,12622,30,921,4.860732307692308,469.91137931034484,2,1,4,7,0,35811.19,15114.4,21450.191,21451.56,27568.400142857146,22604.79292857143,23907.077833333336,10555.603690195101,9335.552536237514,27771.608371744816,25295.320063854757,23939.992964482746,42784.781,42784.781,47243.840000000004,11393.61,9583.09,9583.09,12140.460000000001,5804.669000000002,5803.299999999999,1.8032379717355635,1.270611529752812,1.2705304416089085
2010-02-21,11477.911,37,5602,34,584,3.3105560391730138,310.2138108108108,2,1,6,7,1,27254.86,11393.61,22676.5,33352.561,27580.443142857144,21804.893714285718,23703.733533333332,10534.10022293278,9797.282402024031,23698.18402880861,23452.99885534079,23135.9876764516,42784.781,42784.781,47243.840000000004,11477.911,9583.09,9583.09,84.30099999999948,-11198.589,-21874.65,1.007398971879852,0.506158842854938,0.3441388204042262
2010-02-22,26359.13,48,13431,41,666,3.32020702070207,549.1485416666667,2,1,0,8,0,11477.911,17914.45,21931.04,19140.16,28786.826,22121.185857142857,23867.3192,9692.57680057142,9872.854147497961,24363.42052160646,23840.48300796202,23343.932342486984,42784.781,42784.781,47243.840000000004,11477.911,9583.09,9583.09,8444.68,4428.09,7218.970000000001,1.4713892974665703,1.201909713356047,1.3771635137846288
2010-02-23,22707.44,47,11922,42,733,3.6017682926829266,483.1370212765957,2,1,1,8,0,26359.13,42784.781,17078.21,27391.96,25918.634428571426,22523.27371428572,23512.481833333335,7605.993250193403,9765.72058323323,23949.425391204844,23689.410606900416,23302.868320391048,35811.19,42784.781,47243.840000000004,11477.911,9583.09,9583.09,-20077.341000000004,5629.23,-4684.52,0.5307363849776395,1.3296147547078998,0.8289819348451151
2010-02-24,33086.291,63,22462,47,782,3.8673927217589084,525.1792222222222,2,1,2,8,0,22707.44,31203.68,17438.52,36814.82,26187.57885714286,23640.971642857145,23977.352866666668,7853.280378565536,10030.852457206152,26233.641793403633,24942.327992647028,23934.05688036582,35811.19,42784.781,47243.840000000004,11477.911,9583.09,9583.09,1882.6109999999971,15647.770999999997,-3728.5290000000023,1.0603329799562102,1.8973107236164535,0.8987220635602726
2010-02-25,46642.82,67,26327,55,856,3.3197938829787237,696.1614925373134,2,1,3,8,0,33086.291,26616.23,19666.54,16070.24,29048.520285714283,25567.848785714286,24619.0482,11037.680339276627,11666.332087438093,31335.936345052723,27835.726926960757,25399.138371955123,46642.82,46642.82,47243.840000000004,11477.911,9583.09,9583.09,20026.59,26976.28,30572.58,1.7524202338197408,2.3716840888127755,2.9024345622716274
2010-02-26,16703.701,36,7430,26,684,4.721388775510205,463.9916944444445,2,1,4,8,0,46642.82,35811.19,9583.09,23045.6,26318.878999999997,26076.46385714286,23948.677566666665,11441.784493134639,11055.043782135663,27677.87750878954,26351.456803365993,24838.14241247415,46642.82,46642.82,47243.840000000004,11477.911,11393.61,9583.09,-19107.489,7120.611000000001,-6341.898999999998,0.46643803235804226,1.7430391449939426,0.7248108532648315
